Name,Algorithm,Reduced,Iterations,Time
16720_3,simple greedy,True,11,25.078936338424683
128518_3,simple greedy,True,1,2.685816526412964
130464_2,simple greedy,True,3,6.852701663970947
44230_3,simple greedy,True,6,13.984601974487305
14030_1,simple greedy,True,21,48.337823152542114
145115_2,simple greedy,True,8,19.405149221420288
145545_1,simple greedy,True,2,4.865991592407227
95409_1,simple greedy,True,7,17.729820013046265
114569_3,simple greedy,True,9,21.18535566329956
152074_3,simple greedy,True,5,12.807772397994995
155669_1,simple greedy,True,8,21.065651893615723
151019_2,simple greedy,True,3,7.571767330169678
161498_2,simple greedy,False,7,16.87315034866333
79915_1,simple greedy,True,15,35.070234298706055
121591_1,simple greedy,True,10,24.202330112457275
170700_1,simple greedy,True,8,18.433703422546387
158643_2,simple greedy,False,30,73.56731724739075
23722_2,simple greedy,True,5,11.629899024963379
161960_2,simple greedy,False,29,68.73393130302429
169591_3,simple greedy,True,1,2.3806333541870117
108417_1,simple greedy,True,14,33.82509803771973
85592_2,simple greedy,True,6,15.083613634109497
93873_2,simple greedy,True,9,20.760788679122925
70398_1,simple greedy,True,11,28.512106895446777
86799_1,simple greedy,True,9,22.07403564453125
139319_1,simple greedy,True,27,66.47610020637512
111330_2,simple greedy,False,12,28.24456810951233
155314_1,simple greedy,True,3,7.906891345977783
142344_2,simple greedy,True,6,14.39974570274353
25235_1,simple greedy,True,17,39.36321401596069
37580_1,simple greedy,True,7,18.709644556045532
150803_3,simple greedy,True,1,3.973374605178833
108848_3,simple greedy,True,7,19.061026096343994
156431_3,simple greedy,True,6,14.989928007125854
60211_1,simple greedy,True,12,30.3997700214386
136312_2,simple greedy,True,7,17.96031355857849
27787_3,simple greedy,True,8,18.76282286643982
39849_3,simple greedy,False,27,65.66093969345093
66175_1,simple greedy,True,13,33.57453918457031
122464_1,simple greedy,True,21,50.45719790458679
147263_1,simple greedy,True,10,24.572728872299194
92636_1,simple greedy,True,9,23.35758376121521
79367_2,simple greedy,True,11,25.701345920562744
103854_2,simple greedy,True,7,18.61222743988037
92082_2,simple greedy,True,14,36.13634014129639
128945_3,simple greedy,False,28,68.8340163230896
169067_1,simple greedy,True,5,11.584231615066528
57014_1,simple greedy,True,9,21.875558137893677
148666_3,simple greedy,False,12,30.885425090789795
154127_3,simple greedy,True,2,5.029637098312378
95242_2,simple greedy,True,12,30.112496852874756
